lpAddress,lpName,protocolName,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,UniswapV3 LP,Uniswap V3,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xfca9090d2c91e11cc546b0d7e4918c79e0088194,UniswapV3 LP,Uniswap V3,0x70e8de73ce538da2beed35d14187f6959a8eca96,XSGD,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x0f95e6627923848a08232b5fca813c0fb86042b8,Uniswap V2,Uniswap V2,0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,RAZOR,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x75e66d062a2a8be5c99d71db11d72ab3b82ba8b3,SushiSwap LP Token,SushiSwap,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,KEY,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0xb87b65dacc6171b3ca8c4a934601d0fcb6c61049,Uniswap V2,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ENS,18
0x979d35396d5d4a0070a0c46327309fcfc627ff7d,DODO DPP: DAI/USDC,DODO,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6
0x77bbc2b409c2c75e4999e8e3eb8309efff37cf2d,Uniswap V2,Uniswap V2,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,PNT,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18
0x5b49001c8b756ab44b6ec3bcd1ea3f3a1c3cd758,Uniswap V2:WETH/ECT,Uniswap V2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xda4dd9586d27202a338843dd6b9824d267006783,ECT,9
0x16980c16811bde2b3358c1ce4341541a4c772ec9,UniswapV3 LP,Uniswap V3,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,LUSD,18,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18
0xe1573b9d29e2183b1af0e743dc2754979a40d237,Uniswap V2,Uniswap V2,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,18,0x853d955acef822db058eb8505911ed77f175b99e,FRAX,18
