blockNumber,txHash,token_symbols,token_addresses,pools,pool_addresses
16089362,0x000a424ba690a7b2d275a6c3992a146bc95ef76b6e543cac630e0c65c0c3ea49,gOHM WETH,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,gOHM-WETH-0.003(usp3) gOHM-WETH(sush),0xc987d503a9f78f6d1d782c1fff5af4cb34437e3f 0x8ed26a97ca17ae8f652f182091475ffa9b07b084
16089365,0xdbb836cd376b0e64ad549fb42cd0f829a86e9fc71481a9be79fc29e180b79ebb,gOHM WETH,0x0ab87046fbb341d058f17cbc4c1133f25a20a52f 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,gOHM-WETH-0.003(usp3) gOHM-WETH(sush),0xc987d503a9f78f6d1d782c1fff5af4cb34437e3f 0x8ed26a97ca17ae8f652f182091475ffa9b07b084
16089366,0x3a22e7c460ac6f60ebfb379e6ff407275d6d5e9f76b6e69fdaea65bffa102578,CREAM WETH,0x2ba592f78db6436527729929aaf6c908497cb200 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CREAM-WETH(sush),0xf169cea51eb51774cf107c88309717dda20be167
16089366,0xcbec9522c351f478cc2b8bb8c50496896a4354429d46c1aef6cadc32a87ffc82,WETH VOW,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,VOW-WETH(usp2) VOW-WETH-0.010(usp3),0x7fdeb46b3a0916630f36e886d675602b1007fcbb 0x5a90cc31652e68df288fab4a0c0f39d7c069fef7
16089369,0xc640d3ebb4de48f8b672b6a4bec67b8cb32df5f2183fc04c3333f6a1cf9b5655,WETH VOW,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,VOW-WETH(usp2) VOW-WETH-0.010(usp3),0x7fdeb46b3a0916630f36e886d675602b1007fcbb 0x5a90cc31652e68df288fab4a0c0f39d7c069fef7
16089373,0x4795c78eae9f541ffb5189ff62c2b44761da605003c299cf568e0d39726ca9dd,WETH VOW,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,VOW-WETH(usp2) VOW-WETH-0.010(usp3),0x7fdeb46b3a0916630f36e886d675602b1007fcbb 0x5a90cc31652e68df288fab4a0c0f39d7c069fef7
16089374,0xd5d345697c63cc2967ceaf0b32f5d967f11095fee8dc8459e602e986315be219,MEGA WETH,0x3218a02f8f8b5c3894ce30eb255f10bcba13e654 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MEGA-WETH-0.010(usp3),0x80ba2de1ced9de57366514d9a797f3e10884ead5
16089376,0xe8a76160d7524799d620979d2f842c1fbf8132f839fa7a5fa1ee7cbd526423f9,RWASTE WETH,0x5cd2fac9702d68dde5a94b1af95962bcfb80fc7d 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,RWASTE-WETH(sush) RWASTE-WETH-0.010(usp3),0x30322d99ce062c9e7f1e6d04393c4da0f64f25cd 0x3536c21b5c7b0ec72a58e7bce46b7fadef10f941
16089392,0x641a75240404456171d80123c04b9afaaa75586b5de9e5d98dd6b98437f93b25,bb-a-DAI bb-a-USDT WETH DAI USDT,0xae37d54ae477268b9997d4161b96b8200755935c 0x2f4eb100552ef93840d5adc30560e5513dfffacb 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x6b175474e89094c44da98b954eedeac495271d0f 0xdac17f958d2ee523a2206206994597c13d831ec7,tricrypto(curv),0x80466c64868e1ab14a1ddf27a676c3fcbe638fe5
16089397,0x917c022818c91392f0985f2932ec1e2df46f7ccf1ba4bf102239286fc3bfeafc,USDC WETH FRONT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xf8c3527cc04340b208c854e985240c02f7b7793f,USDC_50/FRONT_50(blcr) USDC-WETH-0.0005(usp3) WETH-FRONT(usp2),0x92e7eb99a38c8eb655b15467774c6d56fb810bc9 0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640 0x2ea2eb8f9a1bf17bcbf2555536c9d1e24e45ebc0
