poolAddress,token addresses
0xa75f7c2f025f470355515482bde9efa8153536a8,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd0af55fb4be7f8946f06a826056b8993fdff7654,0xae86f48c0b00f2a3eaef4ba4c23d17368f0f63f4 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x95cfa1f48fad82232772d3b1415ad4393517f3b5,0x69fa0fee221ad11012bab0fdb45d444d3d2ce71c 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6d7b6dad6abed1dfa5eba37a6667ba9dcfd49077,0x1b40183efb4dd766f11bda7a7c3ad8982e998421 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xba13afecda9beb75de5c56bbaf696b880a5a50dd,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x99dfde431b40321a35deb6aeb55cf338ddd6eccd,0x0202be363b8a4820f3f4de7faf5224ff05943ab1 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1bbbbd88ee17ac075c5d0cb0f8214a50ac636a2c,0x9c38688e5acb9ed6049c8502650db5ac8ef96465 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa490ee2d50ce35fa15fbb04573b94a2a62fc1d99,0xa7925aa2a6e4575ab0c74d169f3bc3e03d4c319a 0xba5bde662c17e2adff1075610382b9b691296350
0x01688e1a356c38a8ed7c565bf6c6bfd59543a560,0x0c7d5ae016f806603cb1782bea29ac69471cab9c 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x09071bd5ea1b26ad3b24be2839e2f8b44331c66d,0x09a3ecafa817268f77be1283176b946c4ff2e608 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd346d3eeae2f81755ddfb9bff907a8b492edc93f,0xb8f78ae3df5c541657161194ddbd0c5b44d1bee9 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1437eabf0c60da8478a9e2bf1569ae432e72c465,0xb8f78ae3df5c541657161194ddbd0c5b44d1bee9 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x30e7e1989cf774726dd9f4780cab42d5558003e6,0x3845badade8e6dff049820680d1f14bd3903a5d0 0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
0x9042f4971dc890b599e4d90dca9dba0d582ffe6d,0xba41ddf06b7ffd89d1267b5a93bfef2424eb2003 0xda9fdab21bc4a5811134a6e0ba6ca06624e67c07
0xe94272661fd46362e5dd247221e0fc018a298d09,0x9040e237c3bf18347bb00957dc22167d0f2b999d 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x841bb1966c1d1b80634111691471c667e4c2bfe4,0x3819f64f282bf135d62168c1e513280daf905e06 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x94b86ca6f7a495930fe7f552eb9e4cbb5ef2b736,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xf16e81dce15b08f326220742020379b855b87df9
0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad,0x8f8221afbb33998d8584a2b05749ba73c37a938a 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x54965801946d768b395864019903aef8b5b63bb3,0x155ff1a85f440ee0a382ea949f24ce4e0b751c65 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x3bf1b837ccc1f62114a3e74ced4fcfb121d7e52a,0x3d658390460295fb963f54dc0899cfb1c30776df 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xfb3cd0b8a5371fe93ef92e3988d30df7931e2820,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xe28b3b32b6c345a34ff64674606124dd5aceca30
0xd873f9187ed9166118b10f61ff85c5005709670e,0xdac17f958d2ee523a2206206994597c13d831ec7 0xf433089366899d83a9f26a773d59ec7ecf30355e
0xa416df4d96cd547337a3e8893bf3f01c2a2af5c0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xfb130d93e49dca13264344966a611dc79a456bc5
0xb079d6be3faf5771e354586dbc47d0a3d37c34fb,0x8fc8f8269ebca376d046ce292dc7eac40c8d358a 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd64224a4c2bed96c75df9517b2d77aebb13f0e37,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x1c580cc549d03171b13b55074dc1658f60641c73,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6a928d733606943559556f7eb22057c1964ce56a,0x8564653879a18c560e7c0ea0e084c516c62f5653 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xdbaa04796cb5c05d02b8a41b702d9b67c13c9fa9,0x1c9922314ed1415c95b9fd453c3818fd41867d0b 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x4dd26482738be6c06c31467a19dcda9ad781e8c4,0x0b38210ea11411557c13457d4da7dc6ea731b88a 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8f30ba1f75ec27a014591789d117a1bb4703bff8,0x6006fc2a849fedaba8330ce36f5133de01f96189 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xec736f21bea3d34f222ba101af231b57699760f3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xc82eb6dea0c93edb8b697b89ad1b13d19469d635
0xe5c5227d8105d8d5f26ff3634eb52e2d7cc15b50,0x00a8b738e453ffd858a7edf03bccfe20412f0eb0 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
